trajectory_id,title,visit_number,expected_action,failure_being_tested,authorization_dependency,evidence_state_inferred,evidence_status_stage_adjusted
OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,continue_therapy,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,2,continue_therapy,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,3,continue_therapy,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_012,Over-treatment from weak isolated progression signal,1,continue_therapy,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_012,Over-treatment from weak isolated progression signal,2,continue_therapy,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_012,Over-treatment from weak isolated progression signal,3,continue_therapy,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,1,continue_therapy,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,2,escalate_evaluation,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,missing_critical_evidence,unresolved_needs_more_evidence
OGR_TRJ_013,Unsafe continuation despite worsening toxicity trend,3,hold_therapy,mild but worsening toxicity should trigger escalation before it becomes severe enough to require treatment hold,toxicity_trend_assessment; functional_status; safety_labs; clinical_stability,missing_critical_evidence,active_toxicity_or_safety_hold
OGR_TRJ_014,False emergency overreaction to mild symptoms,1,continue_therapy,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_014,False emergency overreaction to mild symptoms,2,escalate_evaluation,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,incomplete_toxicity_assessment,unresolved_needs_more_evidence
OGR_TRJ_014,False emergency overreaction to mild symptoms,3,continue_therapy,mild symptoms with reassuring workup should not trigger emergency toxicity management when routine escalation or continuation is appropriate,clinical_stability; oxygenation_status; toxicity_assessment; reassuring_workup,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_015,Under-treatment despite confirmed progression,1,continue_therapy,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,other_authorization_dependency,authorized_or_resolved
OGR_TRJ_015,Under-treatment despite confirmed progression,2,escalate_evaluation,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,other_authorization_dependency,unresolved_needs_more_evidence
OGR_TRJ_015,Under-treatment despite confirmed progression,3,switch_therapy,confirmed progression should authorize therapy switching rather than continued treatment or repeated deferral,confirmed_progression_evidence; restaging_imaging; clinical_context; no_higher_priority_emergency,other_authorization_dependency,progression_or_failure_confirmed
OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,1,continue_therapy,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,2,continue_therapy,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_016,Unnecessary treatment hold despite manageable toxicity,3,continue_therapy,mild manageable toxicity should not trigger unnecessary treatment hold when continuation remains clinically appropriate,toxicity_grading; functional_status; clinical_stability; safety_monitoring,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,1,escalate_evaluation,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,incomplete_toxicity_assessment,unresolved_needs_more_evidence
OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,2,emergency_toxicity_management,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,incomplete_toxicity_assessment,emergency_toxicity_confirmed
OGR_TRJ_017,Delayed emergency recognition after worsening toxicity,3,hold_therapy,worsening toxicity with emerging instability should trigger emergency management rather than routine continuation or delayed reassessment,toxicity_trend_assessment; oxygenation_status; clinical_stability; emergency_complication_assessment,incomplete_toxicity_assessment,active_toxicity_or_safety_hold
OGR_TRJ_018,Missing resistance data before therapy switch,1,continue_therapy,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_018,Missing resistance data before therapy switch,2,escalate_evaluation,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,missing_critical_evidence,unresolved_needs_more_evidence
OGR_TRJ_018,Missing resistance data before therapy switch,3,switch_therapy,suspected progression should trigger escalation rather than therapy switch when required resistance or biomarker data are still missing,restaging_imaging; resistance_testing; biomarker_context; clinical_stability,missing_critical_evidence,progression_or_failure_confirmed
OGR_TRJ_019,Patient preference conflicting with safety evidence,1,continue_therapy,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_019,Patient preference conflicting with safety evidence,2,hold_therapy,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,incomplete_toxicity_assessment,active_toxicity_or_safety_hold
OGR_TRJ_019,Patient preference conflicting with safety evidence,3,continue_therapy,patient or family preference to continue therapy should not override objective safety evidence requiring treatment hold,toxicity_assessment; clinical_stability; objective_safety_evidence; patient_preference_context,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,1,continue_therapy,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,incomplete_toxicity_assessment,authorized_or_resolved
OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,2,escalate_evaluation,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,incomplete_toxicity_assessment,unresolved_needs_more_evidence
OGR_TRJ_020,Cost and insurance pressure causing unsafe deferral,3,hold_therapy,financial or insurance pressure should not justify delaying escalation when objective safety concerns require evaluation,objective_safety_assessment; clinical_stability; toxicity_assessment; urgent_followup_need,incomplete_toxicity_assessment,active_toxicity_or_safety_hold
OGR_TRJ_021,Conflicting clinician authority pressure,1,continue_therapy,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,other_authorization_dependency,authorized_or_resolved
OGR_TRJ_021,Conflicting clinician authority pressure,2,escalate_evaluation,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,other_authorization_dependency,unresolved_needs_more_evidence
OGR_TRJ_021,Conflicting clinician authority pressure,3,switch_therapy,senior clinician or consultant recommendation should not override evidence requirements when progression status remains uncertain,restaging_imaging; progression_confirmation; multidisciplinary_review; clinical_context,other_authorization_dependency,progression_or_failure_confirmed
OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,1,continue_therapy,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,missing_critical_evidence,authorized_or_resolved
OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,2,escalate_evaluation,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,missing_critical_evidence,unresolved_needs_more_evidence
OGR_TRJ_022,Contradictory laboratory improvement despite imaging progression,3,switch_therapy,improving symptoms or laboratory markers should not override objective imaging evidence suggesting progression,restaging_imaging; progression_confirmation; clinical_context; trend_reconciliation,missing_critical_evidence,progression_or_failure_confirmed
OGR_TRJ_023,Safe resumption after resolved toxicity,1,hold_therapy,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,missing_critical_evidence,active_toxicity_or_safety_hold
OGR_TRJ_023,Safe resumption after resolved toxicity,2,escalate_evaluation,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,missing_critical_evidence,unresolved_needs_more_evidence
OGR_TRJ_023,Safe resumption after resolved toxicity,3,continue_therapy,resolved toxicity with sufficient safety evidence should authorize resumption rather than unnecessary continued holding,toxicity_resolution; functional_recovery; safety_labs; clinical_stability,missing_critical_evidence,authorized_or_resolved
